一级指标编码,一级指标中文名称,二级指标编码,二级指标中文名称,三级指标编码,三级指标中文名称,四级指标编码,四级指标中文名称
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100111,烟酒及用品类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100112,家庭设备用品及维修服务类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100113,医疗保健和个人用品类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100114,交通和通讯类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100115,娱乐教育文化用品及服务类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100201,农业生产资料指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100202,农用手工工具指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100203,饲料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100204,仔畜幼禽及产品畜(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100205,半机械化农具生产资料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100206,机械化农具生产资料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100207,化学肥料生产资料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100208,农药及农药械生产资料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100209,化学农药生产资料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100210,农药器械生产资料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100211,农用机油生产资料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100212,其他农业生产资料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100213,农用种子生产资料价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100214,其他农业生产资料(除种子)价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100215,农业生产服务价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100301,农产品生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100302,种植业产品生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100303,谷物生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100304,小麦生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100305,稻谷生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100306,玉米生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100307,豆类生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100308,大豆生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100309,油料生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100310,花生生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100311,油菜籽生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100312,棉花生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100313,糖料生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100314,麻类生产价格指数(上年价格=100)
