A01,国民经济指标,A0108,分行业增加值,A010803,工业增加值,A01080301,工业增加值,A0110003
A01,国民经济指标,A0108,分行业增加值,A010804,建筑业增加值,A01080401,建筑业增加值,A0110004
A01,国民经济指标,A0108,分行业增加值,A010805,批发和零售业增加值,A01080501,批发和零售业增加值,A0110005
A01,国民经济指标,A0108,分行业增加值,A010806,交通运输、仓储和邮政业增加值,A01080601,交通运输、仓储和邮政业增加值,A0110006
A01,国民经济指标,A0108,分行业增加值,A010807,住宿和餐饮业增加值,A01080701,住宿和餐饮业增加值,A0110007
A01,国民经济指标,A0108,分行业增加值,A010808,金融业增加值,A01080801,金融业增加值,A0110008
A01,国民经济指标,A0108,分行业增加值,A010809,房地产业增加值,A01080901,房地产业增加值,A0110009
A01,国民经济指标,A0108,分行业增加值,A010810,其他行业增加值,A01081001,其他行业增加值,A0110010
A01,国民经济指标,A0109,货币供应量,A010901,货币和准货币(M2)供应量_期末值,A01090101,货币和准货币(M2)供应量_期末值,A5101001
A01,国民经济指标,A0109,货币供应量,A010902,货币和准货币(M2)供应量_同比增长,A01090201,货币和准货币(M2)供应量_同比增长,A5101002
A01,国民经济指标,A0109,货币供应量,A010903,货币(M1)供应量_期末值,A01090301,货币(M1)供应量_期末值,A5101003
A01,国民经济指标,A0109,货币供应量,A010904,货币(M1)供应量_同比增长,A01090401,货币(M1)供应量_同比增长,A5101004
A01,国民经济指标,A0109,货币供应量,A010905,流通中现金(M0)供应量_期末值,A01090501,流通中现金(M0)供应量_期末值,A5101005
A01,国民经济指标,A0109,货币供应量,A010906,流通中现金(M0)供应量_同比增长,A01090601,流通中现金(M0)供应量_同比增长,A5101006
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100101,居民消费价格指数(上年同月=100),A0301001001
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100102,食品烟酒类居民消费价格指数(上年同月=100),A0301001002
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100103,衣着类居民消费价格指数(上年同月=100),A0301001003
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100104,居住类居民消费价格指数(上年同月=100),A0301001004
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100105,生活用品及服务类居民消费价格指数(上年同月=100),A0301001005
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100106,交通和通信类居民消费价格指数(上年同月=100),A0301001006
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100107,教育文化和娱乐类居民消费价格指数(上年同月=100),A0301001007
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100108,医疗保健类居民消费价格指数(上年同月=100),A0301001008
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100109,其他用品和服务类居民消费价格指数(上年同月=100),A0301001009
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100110,食品类居民消费价格指数(上年同月=100),A0301001010
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100111,烟酒及用品类居民消费价格指数(上年同月=100),A0301001011
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100112,家庭设备用品及维修服务类居民消费价格指数(上年同月=100),A0301001012
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100113,医疗保健和个人用品类居民消费价格指数(上年同月=100),A0301001013
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100114,交通和通讯类居民消费价格指数(上年同月=100),A0301001014
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100115,娱乐教育文化用品及服务类居民消费价格指数(上年同月=100),A0301001015
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100201,农业生产资料指数(上年=100),A0326001
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100202,农用手工工具指数(上年=100),A0326002
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100203,饲料价格指数(上年=100),A0326003
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100204,仔畜幼禽及产品畜(上年=100),A0326004
A01,国民经济指标,A0110,价格指数,A011002,农业生产资料价格分类指数(上年=100),A01100205,半机械化农具生产资料价格指数(上年=100),A0326005
